BBCH Guide,,NPN Guide,,Fagus grandifolia,Acer pensylvanicum,Acer saccharum,Populus grandidentata,Acer rubrum,Alnus incana,Aronia melanocarpa,Betula alleghaniensis,Betula lenta,Betula populifolia,Corylus cornuta,Fagus sylvatica,Fraxinus nigra,Hamamelis virginia,Ilex mucronata,Kalmia angustafolu,,,,,,,,
Stage,Description,Stage,Description,,,,,,,,,,,,,,,,,,,,,,,,
Principal growth stage 0: sprouting/bud development,,,,,,,,,,,,,,,,,,,,,,,,,,,
00,Dormancy: buds closed and covered by scales,,,"Long, tan, cigar-shaped bud 2-3cm in length. Bud should appear compact with a deep brown or tan color and no sign of translucency or green emerging underneath. Previous year’s leaves will most often come attached to the cutting and, though dead and wilted, should not be confused with new leaf growth.
","Dormant terminal bud is roughly 1cm long, dark red with wide base that comes to a gable-shaped point similar to an okra fruit. Lateral buds typically flank each terminal bed and appear as pairs at any point along the length of the sample stem. Lateral buds are perhaps easier to identify as dormant, as they appear very small, < .5cm in length, and closely abut their adjacent stem.","Buds appear small and compact along sample. Single terminal bud is typically abutted by two lateral buds, forming a trident shape. ","Ovular, pointed buds appear along length of stem and on terminal. Species' buds are significantly more fragile than other woody species and are easily broken off of stem with contact.",,,,,,,,,,,,,,,,,,,,
01,Beginning of bud swelling,,,"Swelling can be difficult to be determined for this species, considering that its leaf is contained in a thin sheath that does not necessarily swell in the same way an otherwise spherical bud of most other species does. Bud appears more obtuse and round than its dormant stage. The bud can also become slightly green due to its outer sheath expanding and its respective leaf showing through from below.","Buds are subtly more spherical when swelling than when dormant. Lateral buds also have a tendency to expand apart from their adjacent stem, creating a gap between the two, respectively.","Buds have swollen, with lateral buds expanding outward. Terminal bud often begins to show subtle shade of green before breaking","Buds appear rounter at their base, producing a spade shape with exterior showing shades of yellow, tan, or light green. Buds are also generally larger than previous dormancy stage.",,,,,,,,,,,,,,,,,,,,
03,End of bud swelling,,,"Swelling appears more apparent than previously recorded, but with no break in the outer sheeth of the bud.","Buds show significant swelling since previous measurement, but have yet to break","Buds show significant swelling since previous measurement, but have yet to break.","Buds show significant swelling since previous measurement, but have yet to break.",,,,,,,,,,,,,,,,,,,,
07,Beginning of sprouting or bud breaking; shoot emergence,,,"Bud sheath has broken open, revealing a still-folded leaf underneath.","Both terminal and lateral buds form slight split at their top, revealing green below. The lengthwise crack looks similar to that of a pistachio nut whose shell is still intact. It is important to note that stage 03 is often missed, since it Stage 04 quickly proceeds the formation of this crack.",Terminal bud shows distinct crack or break at apex.,Not used for species,,,,,,,,,,,,,,,,,,,,
09,Buds show green tips,Leaf budburst,"In at least 3 locations on the plant, an emerging leaf is visible. A leaf is considered ""emerging"" once the green tip is visible at the end of the leaf bud, but before it has fully unfolded to expose the petiole (leaf stalk) or leaf base.",not used sp.,A green tip has emerged from the described crack in Stage 03. Stage 04 most often occurs in terminal buds before lateral buds. The tip itself will have a light green color and should emerge directly from the top of the bud. ,"Most often appearing on sample's terminal, green tip has broken through apex of bud.",At least one bud on stem shows a distinct green tip breaking through bud scales. Most often occurrs on terminal bud of sample before lateral buds. Green tip is a light green color if not significantly white from pubescence.,,,,,,,,,,,,,,,,,,,,
10,Green leaf tips 10 mm above the bud scales,,,not used sp.,Green tip has lengthened to at least 1cm above the end of the bud scales. ,Triangular green tip has extended at least 1cm above bud scales. Bud may often enlarge and split lengthwise to reveal yet unfolded leaf with prominent leaf veins underneath.,Previous stage's green leaf tip has extended to 1cm above respective bud's scales.,,,,,,,,,,,,,,,,,,,,
Principal growth stage 1: leaf and needle development,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,First leaves unfolded,First leaf,,"Leaf has broken through bud sheath and unfolded. Leaf most often emergest at once, with its sheath decidedly falling off after breaking from previous stage.","Intermediary leaf tip can lengthen above its parent bud scales up to 2cm, including both terminals and laterals. Similar to the bud itself, this sheath often splits lengthwise to reveal the yet-unfurled leaf it contains. Even during this splitting, when the leaf parts are visible but not unfolded, the sample should be marked as yet emerged. It is important to reserve stage 06 as each species’ most apparent state of “leaf-out.” ","First leaf has unfolded from bud, appearing as opposite pair per bud.","First leaf has unfolded from bud, most often appear as a leaf pair or cluster of leaves from single bud.",,,,,,,,,,,,,,,,,,,,
15,"More leaves unfolded, but not yet at full size. First leaves unfolded",,,Leaves have emerged and unfolded from multiple buds along the length of the sample. ,"A single leaf has emerged from its bud. This species will nearly always produce one initial leaf from any given bud, unlike other species which more often yield pairs of leaves. Terminal buds will likely reach Stage 06 before lateral buds. However, in cases of precocious lateral buds, first leaves will appear on the base of the sample.",Multiple leaves have unfolded along length of sample.,Multiple leaves have unfolded along length of sample.,,,,,,,,,,,,,,,,,,,,
17,Most leaves unfolded on majority of tree,75% of full leaf size,"In at least 3 locations on the plant, an unfolded leaf is visible. A leaf is considered ""unfolded"" when the petiole (leaf stalk) or leaf base is visible. The leaf may need to be bent backwards to see whether the petiole or leaf base is visible.",Leaves have emerged and unfolded from the majority of buds along the length of the sample.,Leaves have emerged and unfolded from the majority of buds along the length of the sample.,Leaves have emerged and unfolded from the majority of buds along the length of the sample.,Leaves have emerged and unfolded from the majority of buds along the length of the sample.,,,,,,,,,,,,,,,,,,,,
19,Leaf expansion complete,All leaves unfolded,,"Leaf expansion is complete. All eligible buds on the sample have developed into complete, unfolded leaves. ","Leaf expansion is complete. All eligible buds on the sample have developed into complete, unfolded leaves. ","Leaf expansion is complete. All eligible buds on the sample have developed into complete, unfolded leaves. ","Leaf expansion is complete. All eligible buds on the sample have developed into complete, unfolded leaves. ",,,,,,,,,,,,,,,,,,,,
Principal growth stage 3: stem elongation,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Beginning of stem elongation,,,At least one stem along sample has extended,"Leaves,  when elongated, will curl over themselves, requiring the observer to unfurl the leaf to observe, record, or just appreciate its length. As with all other species, Stage 10 is reserved for distinct elongation and should be used only in instances of apparent exception in leaf size.",At least one stem along sample has extended,At least one stem along sample has extended,,,,,,,,,,,,,,,,,,,,
31,Stem about 10% of final length,,,Sample stem has extended to 10% of final length.,Sample stem has extended to 10% of final length.,Sample stem has extended to 10% of final length.,Sample stem has extended to 10% of final length.,,,,,,,,,,,,,,,,,,,,
32,Stem about 20% of final length,,,Sample stem has extended to 20% of final length.,Sample stem has extended to 20% of final length.,Sample stem has extended to 20% of final length.,Sample stem has extended to 20% of final length.,,,,,,,,,,,,,,,,,,,,
33,Stem about 30% of final length,,,Sample stem has extended to 30% of final length.,Sample stem has extended to 30% of final length.,Sample stem has extended to 30% of final length.,Sample stem has extended to 30% of final length.,,,,,,,,,,,,,,,,,,,,
34,Stem about 40% of final length,,,Sample stem has extended to 40% of final length.,Sample stem has extended to 40% of final length.,Sample stem has extended to 40% of final length.,Sample stem has extended to 40% of final length.,,,,,,,,,,,,,,,,,,,,
35,Stem about 50% of final length,,,Sample stem has extended to 50% of final length.,Sample stem has extended to 50% of final length.,Sample stem has extended to 50% of final length.,Sample stem has extended to 50% of final length.,,,,,,,,,,,,,,,,,,,,
36,Stem about 60% of final length,,,Sample stem has extended to 60% of final length.,Sample stem has extended to 60% of final length.,Sample stem has extended to 60% of final length.,Sample stem has extended to 60% of final length.,,,,,,,,,,,,,,,,,,,,
37,Stem about 70% of final length,,,Sample stem has extended to 70% of final length.,Sample stem has extended to 70% of final length.,Sample stem has extended to 70% of final length.,Sample stem has extended to 70% of final length.,,,,,,,,,,,,,,,,,,,,
38,Stem about 80% of final length,,,Sample stem has extended to 80% of final length.,Sample stem has extended to 80% of final length.,Sample stem has extended to 80% of final length.,Sample stem has extended to 80% of final length.,,,,,,,,,,,,,,,,,,,,
39,Stem about 90% of final length,,,Sample stem has extended to 90% of final length.,Sample stem has extended to 90% of final length.,Sample stem has extended to 90% of final length.,Sample stem has extended to 90% of final length.,,,,,,,,,,,,,,,,,,,,
51,Inflorescence or flower buds visible,,,,,,Species' samples frequently produce stamens along entire length of stem before budburst. Early catkin emergence is determined after swelling is complete and signified by gray or red pubescence begins to emerge from bud,,,,,,,,,,,,,,,,,,,,
55,First individual flowers visible but still closed,,,,"During the splitting process described in transition between Stage 05 and Stage 06, look for potential closed flower buds being contained by the leaf’s secondary sheath. Roughly a third to a half of all terminal and lateral buds will contain emerging flower buds alongside their leaf pairs.",,,,,,,,,,,,,,,,,,,,,,
59,First flower petals visible (in forms with petals),,,,,,,,,,,,,,,,,,,,,,,,,,
Principal growth stage 6: flowering,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,First flowers open,First flowers,"In at least 3 locations on the plant, an open fresh flower is visible. Flowers are considered ""open"" when the reproductive parts are visible between unfolded or open flower parts. Do not include spent (wilted) flowers that remain on the plant.",,"During Stage 06 of the observed leaf, its adjacent flower will begin to open. From any given bud, a single inflorescence structure will emerge containing multiple flowers. Stage 20 should be marked when any one of the flowers along an inflorescence has opened.",,"First stamens have emerged from bud. Typically red in color with significant gray pubescens. Entire stamen organ looks ""caterpillar"" shaped""",,,,,,,,,,,,,,,,,,,,
61,"Beginning of flowering, 10% flowers open",,,,10% of flowers on sample open,,10% of stamens present along length of sample.,,,,,,,,,,,,,,,,,,,,
62,20% of flowers open,,,,20% of flowers on sample open,,20% of stamens present along length of sample.,,,,,,,,,,,,,,,,,,,,
63,30% of flowers open,,,,30% of flowers on sample open,,30% of stamens present along length of sample.,,,,,,,,,,,,,,,,,,,,
64,40% of flowers open,,,,40% of flowers on sample open,,40% of stamens present along length of sample.,,,,,,,,,,,,,,,,,,,,
65,"50% of flowers open, full flowering: first petals may be fallen",full flower or peak flowering,"For the whole plant, at least half (50%) of the flowers are open and still fresh.",,50% of flowers on sample open,,"Half of stamens present along length of sample, with at least some having wilted or detached from buds.",,,,,,,,,,,,,,,,,,,,
67,Flowering finishing; majority of petals fallen or dry,,,,"Finishing their emergence, flowers will begin to turn yellow and wilt, eventually falling from their parent buds. Stage 25 should be recorded in the instance of any sign of flower wilting or yellowing along the length of the stem.
",,Majority of stamens have wilted and detached from length of stem. Nearly none of stamens remains.,,,,,,,,,,,,,,,,,,,,
69,End of flowering: fruit set visible,end of flowering,,,"No flowers remain on sample, fruit set may be visible.",,All stamens have wilted and detached from length of sample.,,,,,,,,,,,,,,,,,,,,
Principal growth stage 7: fruit/cone development,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Fruit/cones 20% of final size,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Fruit/cones 50% of final size,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Fruit/cones 80% of final size,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Fruit/cones final size,,,,,,,,,,,,,,,,,,,,,,,,,,
Principal growth stage 8: fruit/cones ripening,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Fruit/cones fully ripe,,,,,,,,,,,,,,,,,,,,,,,,,,
"Principal growth stage 9: senescence, beginning of dormancy",,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Shoot growth completed; foliage still green and terminal buds developed,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Beginning of leaf discoloration,50% of leaves colored,"For the whole plant, at least half (50%) of the leaves (including any that have fallen to the ground) have changed to their late-season colors.","Portion of sample has begun to discolor, turning light brown.","Portion of sample has begun to discolor, turning yellow.","Portion of sample has begun to discolor, turning red.","Portion of sample has begun to discolor, turning yellow often with brown spotting.",,,,,,,,,,,,,,,,,,,,
93,Beginning of leaf fall,,,Leaves typically do not fall for Fagus sylvatica. Stage is not used.,At least one leaf has wilted and fallen from sample.,At least one leaf has wilted and fallen from sample.,At least one leaf has wilted and fallen from sample.,,,,,,,,,,,,,,,,,,,,
95,50% of leaves fallen,50% of leaves fallen,"For the whole plant, at least half (50%) of the leaves have fallen.",Leaves typically do not fall for Fagus sylvatica. Stage is not used.,Half of leaves along sample have wilted and fallen,Half of leaves along sample have wilted and fallen,Half of leaves along sample have wilted and fallen,,,,,,,,,,,,,,,,,,,,
97,End of leaf fall,,,Leaves typically do not fall for Fagus sylvatica. Stage is not used.,All leaves along sample have wilted and fallen,All leaves along sample have wilted and fallen,All leaves along sample have wilted and fallen,,,,,,,,,,,,,,,,,,,,
